
"","Comment.Box.object.43.Value","Multiple.Choice.object.44.Use.Propietary.Data.Sets","Multiple.Choice.object.44.Do.not.use.version.control","Multiple.Choice.object.44.Do.not.share.any.materials..data..code..other.materials.","Multiple.Choice.object.44.Write.theory.part.as.complicated.as.possible..to.make.you.look.smart.","Multiple.Choice.object.44.only.report.successful.experiments....pick.your.benchmark..","Multiple.Choice.object.44.tinker.with.your.set.seed.until.you.have.a.good.result...and.only.report.that.one","Multiple.Choice.object.44.use.high.tech.expensive.compute","Multiple.Choice.object.44.reference.to.obscure.sources.instead.of.explaining.theory.and.problem.conceptualization","Multiple.Choice.object.44.use.many.dependencies.in.code","Multiple.Choice.object.44..data.available.on.request....and.be.unreachable","Comment.Box.object.61.Value","Multiple.Choice.object.48.Share.data.code.computational.environment","Multiple.Choice.object.48.Share.materials..other.than.data.code.computational.environment.","Multiple.Choice.object.48.Share.your.seeds.for.randomization","Multiple.Choice.object.48.Write.clear.methods.sections","Multiple.Choice.object.48.Write.clear.pseudo.algorithms","Multiple.Choice.object.48.Write.clear.theory.section","Multiple.Choice.object.48.Use.version.control..git.or.other.","Multiple.Choice.object.48.Use.docker..or.other.container.to.share.computational.environment.","Multiple.Choice.object.48.Test.your.code","Multiple.Choice.object.48.Test.your.proof","Multiple.Choice.object.48.Make.providence.of.used.data.traceable","Multiple.Choice.object.48.Use.commonly.accepted.benchmark.data.sets","Multiple.Choice.object.48.Fill.in.reproducibility.forms.when.submitting.work","Comment.Box.object.49.Value","Multiple.Choice.object.51.I.shared.data","Multiple.Choice.object.51.I.shared.code","Multiple.Choice.object.51.I.shared.a.computational.environment","Multiple.Choice.object.51.I.shared.other.research.materials","Multiple.Choice.object.51.I.shared.seeds.for.randomization","Multiple.Choice.object.51.I.wrote.a.clear.methods.section","Multiple.Choice.object.51.I.wrote.a.clear.pseudo.algorithm","Multiple.Choice.object.51.I.wrote.a.clear.theory.section","Multiple.Choice.object.51.I.used.version.control..git.or.other.","Multiple.Choice.object.51.I.used.docker..or.other.container.to.share.computational.environment.","Multiple.Choice.object.51.I.tested.my.code","Multiple.Choice.object.51.I.tested.my.proof","Multiple.Choice.object.51.I.made.the.providence.of.used.data.clear","Multiple.Choice.object.51.I.used.commonly.accepted.benchmarks","Multiple.Choice.object.51.I.filled.in.a.reproducibility.form.for.a.conference.or.journal.submission","Comment.Box.object.52.Value","Slider.object.54.Value","Slider.object.55.Value","Slider.object.56.Value","Slider.object.57.Value","Comment.Box.object.60.Value"
"11","difficult","0","0","1","0","1","1","0","0","0","0","","1","0","0","1","0","0","0","0","1","0","0","0","0","","1","1","1","0","1","1","0","1","1","0","1","0","1","0","0","","75","76","","17","eScience"
"12","To be able to (from scratch) reproduce the results from a paper accurately enough to draw the same conclusions as the authors.","0","0","1","0","1","1","0","0","0","0","","1","1","0","1","0","0","0","0","0","0","0","0","0","","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","","37","31","37","1","formal verification, quantum computing"
"13","That I am able to read a paper and recreate / re-run the experiment yielding 1:1 the exact same results.","1","0","1","0","0","0","1","0","0","0","","1","0","1","1","0","0","0","1","0","0","0","1","1","","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","","82","76","7","1","Reinforcement Learning"
"14","storing a compute environment","0","1","0","0","0","0","1","0","0","1","","1","0","0","1","0","0","1","0","0","0","0","0","0","","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","","27","","","32","High performance computing"
"15","Availability of source data, code, and eperiment protocol and/or automation","0","0","1","0","0","0","0","0","1","1","","1","1","0","0","0","0","0","0","0","0","0","1","0","","1","1","0","0","0","1","1","1","1","0","1","0","1","1","0","","66","100","68","","Data mining"
"16","Checklists at paper submission time","1","0","0","0","0","0","1","0","0","1","","1","0","0","0","0","0","1","0","1","0","0","0","0","","1","1","0","0","0","1","0","0","1","0","1","0","0","0","1","","83","100","78","1","AI"
"17","Artifacts","1","0","1","0","0","0","1","0","0","0","","1","0","0","1","0","0","0","1","0","0","0","0","0","","1","1","0","0","1","1","1","0","1","1","1","0","0","0","0","","88","13","29","81","Data management (databases) "
"18","A type of research that is structured in a way that it can be reproduced in other science feilds.","1","0","1","1","1","0","0","1","0","0","","1","0","0","1","1","1","0","1","0","0","0","0","0","","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","","37","37","65","64","machine learning"
"19","research that is transparent and can be re-done by others","0","0","1","0","1","0","0","0","1","0","","1","0","0","0","1","0","0","0","1","0","0","0","0","","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","document and style code so that others can understand it","95","94","94","77","geoinformatics"
"20","replicate a method for expecting to obtain the same output ","0","0","1","0","1","0","0","1","0","0","","1","1","0","1","0","0","1","1","0","0","1","0","0","redeable and interoperable standard description with metadata values used","1","1","1","1","0","1","0","0","1","0","0","0","1","0","0","","","1","78","","bioinformatics"
"21","Better science","0","0","1","1","1","0","0","0","0","0","","1","0","0","1","0","0","0","0","0","0","0","1","0","","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","","75","74","40","23","Computer vision"
"22","Reaserch conducted and reportedin such a way that the methodology and the reuslts can be reproduced by other researchers.","0","0","1","0","1","0","0","1","0","0","","1","0","0","1","0","0","1","0","0","0","0","0","0","","1","1","0","1","0","1","1","1","1","1","1","1","0","0","1","","84","31","72","57","eHealth"
"23","scientifically robust","0","0","1","1","1","1","1","1","0","1","","1","1","1","1","1","0","0","0","0","0","0","0","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","70","75","80","17","Artificial Intelligence"
"24","Research of which you can easily re-do all experiments presented in the paper and obtain the same results as the one declared in the paper. This implies having either the full code to reproduce the results and enough details in the paper to do so.","0","0","0","1","1","0","1","0","0","0","","1","1","0","1","0","0","0","0","0","0","0","0","0","","0","1","1","1","0","1","0","0","1","0","1","0","1","0","0","","68","82","83","18","Information Retrieval"
"25","In the context of informatics / computer science, concretely speaking, I think of a code repository and a link to GitHub (or something similar) provided in a paper.","1","0","1","0","0","0","1","0","0","0","","1","0","0","1","0","0","0","0","0","0","1","0","0","","1","1","1","1","0","1","0","0","1","1","1","0","1","1","0","","78","27","72","1","data management for machine learning"
"26","sounds good","0","1","1","1","1","0","0","0","0","0","","1","0","1","1","1","1","1","0","0","0","0","0","0","","1","1","0","0","0","1","1","1","1","0","1","1","0","1","0","","67","60","92","","Sports Data Science"
"27","Conducting Research in a way that allows other researchers to replicate its results.","0","0","1","0","1","0","0","0","1","0","","1","0","1","1","0","0","0","0","0","0","0","0","0","","1","1","1","1","1","1","0","0","1","0","0","0","1","1","0","","89","90","98","91","Medical field"
"28","The only valid way to do research, within reasonable limits. Long live Docker.","0","0","1","0","1","0","0","0","0","1","","1","1","0","0","0","0","0","1","0","0","0","0","0","","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","","100","1","99","100","Software engineering"
"29","github repository","1","0","0","1","0","0","1","0","0","0","","1","0","1","1","0","0","0","0","1","1","0","0","0","","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","","91","83","23","12","computational imaging"
"30","have enough information to be able to repeat the experiment
and obtain very similar results ","0","0","1","1","1","0","0","0","0","0","this might be particular to my area, but one should not need to share the randomness as that makes it deterministic ? I do not understand why you feel like sharing randomness is a good thing, its a bad thing for me ... ","1","0","0","1","0","1","0","0","0","0","0","1","0","provide exact versions of tools and libraries used in original work ","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","","78","51","51","51","Im more applied than theoretical, but the rest of the selections both apply to me queally "
"31","Replication packages, open source software, open datasets","0","0","1","0","1","0","0","0","0","1","","1","0","0","1","0","0","0","1","1","0","0","0","0","","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","","89","11","91","91","software engineering"
"32","Being able to download,  install and run the software and then actively replicating the workflow for producing the research results. To clarify: it is not merely replicating the results, but being able to experiment with the software, input, etc. in order to understand how it works.","1","1","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0","1","0","0","1","0","Reproducibility is an activity, not an artifact. It should be practiced and verified. ","1","1","0","1","1","1","1","1","1","0","1","1","0","1","0","Have a concise ""getting started"", demonstrating how easy it is to ""download,  install, run demo""","69","26","74","21","Responsible for Model Quality in general, which includes reproducibility "
"33","Make source code public","0","0","1","0","1","0","0","1","0","0","","1","0","0","1","1","0","0","0","0","0","0","0","0","","0","1","1","0","0","1","1","0","1","0","1","0","0","1","0","","26","100","76","25","data mining"
"34","Study protocol is described in detail and all supporting code is available as open source that builds, compiles, runs out of the box.","0","0","1","0","0","0","0","0","1","1","","1","0","0","1","0","0","0","0","0","0","1","0","0","","1","1","0","1","0","1","1","1","1","0","1","0","1","0","0","","75","25","89","90","Software engineering"
"35","It should be reproducible","1","0","1","0","0","0","0","0","0","1","","1","0","0","1","1","0","0","0","0","0","0","0","0","","1","1","1","0","0","1","1","0","0","0","1","0","0","0","1","","92","100","","1","Data Science"
"36","Research that is clearly described and that I can straightforwardly reproduce on my own","1","0","1","0","0","1","0","0","0","0","","0","0","0","1","1","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","","67","16","75","9","Hardware security"
"37","Mathematical proofs","0","0","1","1","0","0","0","0","0","1","","1","0","0","1","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","","1","41","1","1","Theoretical computer science"
"38","A research that is available to be reproduced with the same results","0","1","1","1","1","1","0","0","0","1","","1","1","0","1","1","1","1","0","1","0","0","0","0","","1","1","1","0","0","1","1","0","1","0","1","0","0","0","0","","83","31","82","11","AI"
"39","Setting up experiments so someone else can re-do them","0","0","0","0","1","0","0","1","0","1","","1","0","0","1","0","0","1","0","0","0","0","0","0","","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","","78","28","100","24","Data Science"
"40","quality and reputation, building on others","1","0","1","0","1","0","0","0","0","0","","1","1","0","0","0","0","0","0","0","0","0","1","0","","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","","","","76","84","data science "
"41","Open datasets and open code (if applicable)","0","0","1","0","1","0","1","0","0","0","","1","1","0","1","1","0","0","0","0","0","0","0","0","","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","","100","27","","70","Machine Learning"
"42","Research which can be feasibly repeated in almost the exact same manner by an independent group of researchers.","0","0","1","1","0","0","1","0","0","0","","1","0","0","1","0","0","0","0","0","0","0","0","0","Research can be repeated for a relatively small amount of money","1","1","0","1","1","1","1","0","1","0","0","0","1","1","0","","78","21","96","61","Data science"
"43","Experimental setup and data openly stored","0","0","1","0","1","0","0","1","0","0","","1","0","0","1","0","0","1","0","0","0","0","0","0","I chose ""write clear methods section"". actually it has to be more ""write clear experimental setup section"", including algorithms, but especially parameters and data","1","1","0","1","0","1","1","0","1","0","1","0","1","1","1","","80","100","35","15","game AI"
"44","To verify the outcome of (numerical) experiments by repetition.","0","0","1","0","0","0","1","0","1","1","","1","0","0","1","0","0","0","0","0","0","0","0","0","","1","1","0","0","1","1","1","0","1","0","1","0","0","0","0","","64","100","100","1","Computational Imaging"
"45","Making your code and data public. Making it easy/doable to run the code on some data in some environment.","0","0","1","1","0","0","1","0","0","0","","1","0","0","1","0","0","0","0","1","0","0","0","0","","1","1","1","1","0","1","1","1","1","0","1","0","0","0","0","","73","32","92","53","computational imaging"
"46","Experiments that can be backtraced to its sources through logic","0","0","0","1","0","1","0","0","0","1","","0","0","0","1","0","1","0","0","0","1","0","0","0","","1","1","1","0","0","1","0","0","1","0","1","1","0","1","0","","57","89","41","32","Computational Imaging"
"47","Experiments/code/data are made available so that others can reproduce the findings.","0","0","1","1","0","0","0","1","0","0","","1","0","0","1","0","0","0","0","0","0","1","0","0","","0","1","0","1","1","0","0","0","1","0","1","0","1","0","0","","83","29","86","51","Process analytics & databases"
"48","That properly document code is provided, together with scripts (that also describes the dependencies) that generate exactly the same results as in the paper","0","0","0","1","0","0","1","0","0","1","","1","0","0","0","0","0","0","1","0","0","0","1","0","","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","","84","1","25","1","hardware security"
"49","A research process which can be repeated several times leading to the same results","1","0","1","0","1","0","0","0","0","0","","1","0","0","1","0","0","0","0","1","0","0","0","0","","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0","","75","42","","","computer vision"
"50","Open source code and openly accessible data.","0","0","1","0","0","0","1","0","0","1","","1","0","0","1","0","0","1","0","0","0","0","0","0","","1","1","0","1","1","1","1","0","1","0","1","0","0","0","0","","68","61","11","1","Reinforcement Learning (subfield of Artificial Intelligence)"
"51","documentation of research sufficient enough that results can be replicated ","0","0","1","0","1","1","0","0","0","0","","1","0","0","1","0","1","0","0","0","0","0","0","0","","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","","77","21","25","48","Data Science and operational research "
"52","data sets","0","0","1","0","0","0","0","0","0","0","","1","0","0","0","1","0","0","0","0","0","1","0","0","","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","","19","22","40","","developing information systems"
"53","Source code for reference implementation and datasets for training made publicly avaialble together with sufficient documentation to allow research to be reproduced by someone with reasonable technical knowledge.","1","0","1","0","1","0","0","0","0","0","","1","0","0","1","0","0","0","0","0","0","0","1","0","","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","","68","14","40","","computational creativity"
"54","Research documented in a way that allows others / other researcher to repeat what has been done","0","0","1","0","1","0","0","1","0","0","","0","0","0","1","1","1","0","0","0","0","0","0","0","","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","","23","100","1","26","reinforcement learning"
"55","Research that can be verified","1","0","1","1","1","0","0","1","0","1","","1","0","0","1","0","0","1","0","0","0","0","0","0","I would add Write clear code documentation","1","1","1","0","0","1","0","1","1","1","1","0","0","1","0","","53","","","","My work is mostly on software sustainability, so I feel it a mix of these (and mostly at a ""meta"" level)"
"56","To me, in general, ""Reproducible Research"" is when the approach used in the research is followed on the same materials and in the same condition, we should get the results achieved by the research. 
In the context of computer science, the work should have released the associated code (i.e. their approach/method) along with the details used to run the code (e.g. in machine learning, hyperparameter values) and if possible, the work should reported results on a public benchmark dataset. When we run their code in these aforementioned conditions, we should achieve the same results reported in their work.","1","0","1","1","0","0","0","0","0","0","","1","0","0","1","0","0","0","0","0","0","0","1","0","This might come in the materials or code, but still I thought might be interesting to mention:
- share the exact data processing pipeline (e.g. some works take the (benchmark) data and preprocess it in a certain manner before using it as input to their code, but don't share their data processing pipeline). ","0","1","1","1","1","1","0","0","1","0","1","0","1","1","1","","90","64","100","1","machine learning, deep learning, medical data science"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
